Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits
RESIDENTIAL CARE ELDERLY,565801563,HAPPY HOME CARE,"HAPPY HOMECARE, INC.",KAREN ROSALES,(818) 219-5998,179 NORTHAM AVE.,NEWBURY PARK,CA,91320,VENTURA,31,6,LICENSED,6/10/08,,3/7/16,1,2,4,7
RESIDENTIAL CARE ELDERLY,198602403,HAPPY HOME CARE FOR ELDERLY,"KIM, JUNG HYUN","JUNG HYUN, KIM",(909) 217-2011,23801 SAPPHIRE CANYON RD,DIAMOND BAR,CA,91765,LOS ANGELES,28,6,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,565801764,HAPPY HOME CARE II,"HAPPY HOMECARE, INC.",MICHAEL ROSALES,(818) 219-5998,1273 SHEFFIELD PLACE,THOUSAND OAKS,CA,91360,VENTURA,31,6,LICENSED,1/25/12,,11/1/13,0,1,1,2
RESIDENTIAL CARE ELDERLY,197601430,HAPPY HOME LOVE & CARE OF GRANADA HILLS,"YAPO HOMES, INC.","YAPO, PURITA",(818) 360-5420,12716 GOETHE PL.,GRANADA HILLS,CA,91344,LOS ANGELES,31,5,LICENSED,10/29/97,,6/24/16,3,0,2,5
RESIDENTIAL CARE ELDERLY,315002198,HAPPY LIFE VILLA,"PARVU, ELENA-COCA","PARVU, ELENA-COCA",(916) 749-9253,2233 DONOVAN DRIVE,LINCOLN,CA,95648,PLACER,27,6,LICENSED,5/27/09,,11/8/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,107204054,HAPPY LIVING FACILITY,"CATACUTAN, RAQUEL","CATACUTAN, RAQUEL",(559) 441-0351,5275 E. KAVILAND,FRESNO,CA,93725,FRESNO,24,6,LICENSED,4/30/08,,5/12/16,2,1,4,7
RESIDENTIAL CARE ELDERLY,336411237,HAPPY NEST,"CRI ENTERPRISES, INC.",CLAIRE ITCHON,(760) 318-9973,3140 E. VISTA CHINO,PALM SPRINGS,CA,92262,RIVERSIDE,18,6,LICENSED,10/26/05,,5/10/16,1,0,1,2
RESIDENTIAL CARE ELDERLY,336413251,HAPPY NEST II,"CRI ENTERPRISES, INC",CLAIRE ITCHON,(760) 992-9645,3180 E. VISTA CHINO,PALM SPRINGS,CA,92262,RIVERSIDE,18,6,LICENSED,5/29/07,,5/16/14,1,0,0,1
RESIDENTIAL CARE ELDERLY,336424160,HAPPY NEST III,"CRI ENTERPRISES, INC.","CAMUA, GEORGE",(760) 322-8528,3020 E. VISTA CHINO,PALM SPRINGS,CA,92262,RIVERSIDE,18,6,LICENSED,6/2/09,,7/12/16,1,3,3,7
RESIDENTIAL CARE ELDERLY,331800110,HAPPY NEST IV,CRI ENTERPRISES INC,"CAMUA, GEORGE",(760) 699-7922,1725 N WHITEWATER CLUB,PALM SPRINGS,CA,92262,RIVERSIDE,18,6,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,486801766,HAPPY SENIORS CARE HOME,"TAN, FERNANDO P.",FERDINAND TAN,(707) 980-6543,398 MEADOWS DRIVE,VALLEJO,CA,94589,SOLANO,21,6,LICENSED,11/9/05,,12/28/16,3,12,9,24
RESIDENTIAL CARE ELDERLY,425801618,HAPPY TRAILS RESIDENTIAL CARE INC.,HAPPY TRAILS RESIDENTIAL CARE INC.,CLAUDIA NICHOLSON,(805) 937-1624,2248 CLEARLAKE DRIVE,SANTA MARIA,CA,93454,SANTA BARBARA,29,6,CLOSED,2/27/09,2/17/16,2/17/16,1,0,2,3
RESIDENTIAL CARE ELDERLY,75600076,HAPPY VALLEY-HOME FOR OUR PARENTS,"ONOFREI, NICOLAE AND DAMARIS","ONOFREI, NICOLAE",(925) 284-4846,3292 WALNUT LANE,LAFAYETTE,CA,94549,CONTRA COSTA,15,6,LICENSED,8/2/96,,8/21/12,1,0,0,1
RESIDENTIAL CARE ELDERLY,374602946,HAPPY WORLD,"CARLOS-LU, TERESITA & BLUME, MARIA","LU, TERESITA & BLUME,MARIA",(858) 513-3838,15020 AMSO ST,POWAY,CA,92064,SAN DIEGO,8,6,CLOSED,11/25/09,6/1/12,11/1/11,0,0,0,0
RESIDENTIAL CARE ELDERLY,577005437,HARBOR COMFORT HOME,"MOKHOV, YELENA","MOKHOV, YELENA",(916) 373-1920,4060 SHAVER COURT,WEST SACRAMENTO,CA,95691,YOLO,27,4,LICENSED,9/3/14,,12/14/16,1,0,2,3
RESIDENTIAL CARE ELDERLY,197608355,HARBOR GATEWAY GUEST HOME,"MANSEL GUEST HOME, INC.",RHODA MABUTAS,(310) 345-5561,1586 WOODBURY DRIVE,HARBOR CITY,CA,90710,LOS ANGELES,28,6,LICENSED,5/30/13,,4/22/15,0,2,4,6
RESIDENTIAL CARE ELDERLY,19200548,HARBOR HAVEN,"JUANA CARE FACILITY, LLC","JENE LEVINE, TYRONE SNIPES",(510) 504-1788,510 CENTRAL AVENUE,ALAMEDA,CA,94501,ALAMEDA,15,12,CLOSED,,4/27/15,,0,0,0,0
RESIDENTIAL CARE ELDERLY,198601559,HARBOR RETREATS,"SGHC, LLC",GLENDA BUSTOS,(310) 517-9602,1584 OAKHORNE DRIVE,HARBOR CITY,CA,90710,LOS ANGELES,28,6,LICENSED,4/11/14,,5/20/16,0,2,4,6
RESIDENTIAL CARE ELDERLY,198200855,"HARBOR TERRACE RETIREMENT CENTER OF SAN PEDRO, LLC","HARBOR TERRACE RETIREMENT CENTER OF SAN PEDRO, LLC","BENEDICT, DAVID",(310) 547-0090,435 WEST 8TH STREET,SAN PEDRO,CA,90731,LOS ANGELES,28,202,LICENSED,4/16/96,,6/10/16,1,7,2,10
RESIDENTIAL CARE ELDERLY,306002241,HARBOR VIEW ESTATE,"US-1-MANWELL, INC.",VILMA B. MANUEL,(949) 661-6874,3911 CALLE MAYO,SAN CLEMENTE,CA,92673,ORANGE,22,6,LICENSED,6/14/04,,6/2/16,3,1,6,10
RESIDENTIAL CARE ELDERLY,370804407,HARBORVIEW CHATEAU INC.,HARBORVIEW CHATEAU INC.,JAMES SMITH,(619) 233-8382,2360 ALBATROSS ST.,SAN DIEGO,CA,92101,SAN DIEGO,8,30,LICENSED,8/23/88,,7/29/16,1,19,4,24
RESIDENTIAL CARE ELDERLY,374603715,HARBORVIEW SENIOR ASSISTED LIVING,KTRE2 LLC,"SETTINERI, JEFFREY",(619) 223-8382,2360 ALBATROSS STREET,SAN DIEGO,CA,92101,SAN DIEGO,8,30,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,575002250,HARBOUR OF REJUVENATION,"MOKHOV, YELENA","MOKHOV, YELENA",(916) 798-2506,3619 SQUAW ROAD,WEST SACRAMENTO,CA,95691,YOLO,23,6,LICENSED,11/16/09,,6/14/12,2,4,1,7
RESIDENTIAL CARE ELDERLY,374600723,HARDING GUEST HOME,"AMERICAL SERVICES LLC, DBA HARDING GUEST HOME",DONALD W. MCLAUGHLIN,(760) 729-5417,3574 HARDING STREET,CARLSBAD,CA,92008,SAN DIEGO,8,36,CLOSED,12/24/98,1/31/12,7/16/10,0,0,0,0
RESIDENTIAL CARE ELDERLY,435202478,HARK HAVEN,MARIEL CHRISTINE GUERRA,MARIEL GUERRA,(408) 406-1155,791 CLYDE AVENUE,SANTA CLARA,CA,95054,SANTA CLARA,26,6,CLOSED,12/11/14,8/24/16,7/2/16,0,11,25,36
RESIDENTIAL CARE ELDERLY,347004907,HARMON HOUSE,"CREATIVE SOLUTIONS IN ELDER CARE, LLC.","MARSHALL, JAMES",(916) 599-0907,1367 ROWENA WAY,SACRAMENTO,CA,95864,SACRAMENTO,27,6,CLOSED,6/29/12,6/27/14,6/26/14,1,3,15,19
RESIDENTIAL CARE ELDERLY,347005497,HARMON HOUSE,CREATIVE SOLUTIONS IN ELDER CARE LLC,RUBEN OYANEDEL,(916) 215-5802,2829 PANAY COURT,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,6/26/14,,11/18/16,3,0,4,7
RESIDENTIAL CARE ELDERLY,435294136,HARMONIE HOME,"ROMUALDEZ, JONA D.","MORILLO, JULIET",(408) 997-7925,1463 NESBIT COURT,SAN JOSE,CA,95120,SANTA CLARA,26,6,LICENSED,4/12/05,,8/13/14,1,0,1,2
RESIDENTIAL CARE ELDERLY,306001175,HARMONY,"GRAJO AND ASSOCIATES, INC.","GRAJO, NORMA A.",(714) 985-4739,1356 MONTEVIDEO AVE.,PLACENTIA,CA,92870,ORANGE,22,6,CLOSED,6/21/00,1/31/15,4/20/15,1,0,1,2
RESIDENTIAL CARE ELDERLY,306002890,HARMONY 2,"GRAJO AND ASSOCIATES, INC.",NORMA & FRANCISCO GRAJO,(714) 528-2543,1325 MONTEVIDEO STREET,PLACENTIA,CA,92870,ORANGE,22,6,CLOSED,4/21/05,11/26/12,6/22/11,0,0,0,0
RESIDENTIAL CARE ELDERLY,415600806,HARMONY ASSISTED LIVING OF SAN MATEO,"SANDOVAL, TERRI","SANDOVAL, TERRI",(650) 212-0244,1818 ROYAL AVENUE,SAN MATEO,CA,94401,SAN MATEO,14,6,LICENSED,1/14/10,,12/3/14,2,0,0,2
RESIDENTIAL CARE ELDERLY,374603507,HARMONY BY THE SEA,HARMONY BY THE SEA LLC,MICHAEL WALTERS,(619) 628-4548,829 EMORY STREET,IMPERIAL BEACH,CA,91932,SAN DIEGO,8,6,CLOSED,12/20/13,4/15/15,3/21/14,0,1,5,6
RESIDENTIAL CARE ELDERLY,79200515,HARMONY CARE HOME,"DEL CARPIO, OSCAR J. AND MARIA TERESA",MARIA TERESA DEL CARPIO,(925) 642-1084,5611 ASHBOURNE WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,8/26/15,,10/26/16,1,0,1,2
RESIDENTIAL CARE ELDERLY,347000486,HARMONY CARE HOME,"ION, FELICIA & TRAIAN","ION, FELICIA & TRAIAN",(916) 368-1255,3629 ASTRAL DRIVE,SACRAMENTO,CA,95827,SACRAMENTO,27,6,LICENSED,2/9/96,,12/20/16,2,1,2,5
RESIDENTIAL CARE ELDERLY,347002550,HARMONY HOME,"CATA, CORNELIA","CATA, CORNELIA",(916) 485-5541,5000 MELVIN DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,11/30/04,,5/16/16,2,5,1,8
RESIDENTIAL CARE ELDERLY,75601441,HARMONY HOME CARE,"JVTCM CARE, LLC","LINGBANAN, VICTORIA",(925) 934-8827,1621 THIRD AVENUE,WALNUT CREEK,CA,94597,CONTRA COSTA,15,22,LICENSED,3/13/09,,3/25/15,1,3,3,7
RESIDENTIAL CARE ELDERLY,347004460,HARMONY HOME CARE,IOANA JOANNA BROTNEI,JOANNA BROTNEI,(916) 992-6032,7900 BELLINGRATH DR.,ELVERTA,CA,95626,SACRAMENTO,27,6,LICENSED,4/29/11,,11/18/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,198601704,HARMONY HOME CARE,"AD DYNAMIC, INC.","DIONSIO, ANTONIA",(310) 830-6841,1318 215TH STREET,CARSON,CA,90745,LOS ANGELES,28,6,LICENSED,8/11/16,,1/29/16,0,0,2,2
RESIDENTIAL CARE ELDERLY,197606345,HARMONY HOME CARE,MELODY B SAPITANAN,ANNABEL E DIONISIO,(310) 549-0218,1318 215TH ST,CARSON,CA,90745,LOS ANGELES,28,6,LICENSED,12/2/05,,12/30/15,1,2,1,4
RESIDENTIAL CARE ELDERLY,19200702,HARMONY HOMES LLC,HARMONY HOMES LLC,"NATH, NALINI",(510) 755-6399,3263 SANTA CLARA COURT,UNION CITY,CA,94587,ALAMEDA,15,6,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,216801264,HARMONY HOUSE,HARMONY HOUSE LLC,LISA DEBARTOLO,(415) 258-1560,233 WEST END AVE.,SAN RAFAEL,CA,94901,MARIN,21,47,LICENSED,2/5/03,,8/26/16,2,21,10,33
RESIDENTIAL CARE ELDERLY,347004575,HARSTON LOVING CARE INC.,HARSTON LOVING CARE INC.,HARJINDER SINGH,(916) 728-1046,5205 HARSTON WAY,ANTELOPE,CA,95843,SACRAMENTO,27,6,LICENSED,8/29/11,,3/23/16,2,5,1,8
RESIDENTIAL CARE ELDERLY,310300312,HART'S CASTLE,"HART, HELEN","HART, HELEN",(530) 637-5516,389 WASHINGTON IRVING DRIVE,WEIMAR,CA,95736,PLACER,27,6,LICENSED,6/12/74,,12/6/16,3,0,1,4
RESIDENTIAL CARE ELDERLY,374600775,HART'S PLACE,"C & A HART, INC.",CLAVEL L. HART,(760) 295-6012,2331 MONTE VISTA DRIVE,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,9/13/99,,8/25/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,480108685,HART'S RESIDENTIAL FACILITY,"HART, DORA L.","HART, DORA L.",(707) 425-9405,1478 CATLIN DRIVE,FAIRFIELD,CA,94533,SOLANO,21,5,LICENSED,6/20/88,,2/9/16,4,0,0,4
RESIDENTIAL CARE ELDERLY,300612929,HARTFORD HOME CARE,"DINO, ASUNCION V.",DINO ASUNCION,(714) 961-8548,2424 HARTFORD AVE,FULLERTON,CA,92835,ORANGE,22,6,LICENSED,12/17/91,,8/10/16,3,1,7,11
RESIDENTIAL CARE ELDERLY,197608678,"HARTLAND CARE, INC.","HEARTLAND CARE, INC.",ANI MAKARYAN,(818) 697-5363,8224 ZELZAH AVENUE,RESEDA,CA,91335,LOS ANGELES,31,6,LICENSED,8/25/14,,3/5/15,0,1,1,2
RESIDENTIAL CARE ELDERLY,15600386,HARTNELL HOME CARE,"SANDAJAN, MARIA LUZ L.","PURUGANAN,VICTORIA C.",(510) 489-7290,2041 HARTNELL STREET,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,7/9/99,,5/20/16,1,10,10,21
RESIDENTIAL CARE ELDERLY,107200939,"HARVEST AT FOWLER, THE",TRINITY RETIRE.SERV.INC.GP OF HARVEST AT FOWLER LP,"ZANIN, ALEKSEY",(559) 834-5692,1400 E. SUMNER AVENUE,FOWLER,CA,93625,FRESNO,24,36,ON PROBATION,2/3/00,,10/27/16,2,13,61,76
RESIDENTIAL CARE ELDERLY,198205054,HARVEST HOME,JOEL DE LUNA,AMELIA DE LUNA,(562) 402-5331,20430 HARVEST AVENUE,LAKEWOOD,CA,90715,LOS ANGELES,28,6,LICENSED,6/20/06,,10/27/16,1,5,9,15
RESIDENTIAL CARE ELDERLY,306005207,HARVEST RETIREMENT,HARVEST RETIREMENT CORPORATION,"PO, JEFFREY",(714) 821-4130,9011 KNOTT AVE,BUENA PARK,CA,90620,ORANGE,22,106,LICENSED,8/12/16,,12/22/16,0,0,7,7
RESIDENTIAL CARE ELDERLY,405802263,HARVEST SENIOR LIVING LLC,HARVEST SENIOR LIVING LLC,"FARIA, DIORENE R",(805) 369-2261,805 EXPERIMENTAL STATION RD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,29,6,LICENSED,12/12/16,,9/28/16,0,0,1,1
RESIDENTIAL CARE ELDERLY,198601831,"HARVEY WAY HOUSE, INC.","HARVEY WAY HOUSE, INC.",REBECCA A. DAVIDSON,(562) 421-4285,5411 E. HARVEY WAY,LONG BEACH,CA,90808,LOS ANGELES,28,6,LICENSED,6/20/15,,6/29/15,0,0,3,3
RESIDENTIAL CARE ELDERLY,435294358,HARVY'S HOME CARE,HARVY'S HOME CARE CORPORATION,"SIJHER, HARVINDER K.",(408) 466-4751,410 FIELDCREST DRIVE,SAN JOSE,CA,95123,SANTA CLARA,26,6,LICENSED,3/18/11,,12/21/16,3,0,1,4
RESIDENTIAL CARE ELDERLY,347005679,HAVEN COURT MANOR,"SCV 2, LLC.","SOBREPENA, BENITA",(916) 215-5224,14 ARARAT CT,SACRAMENTO,CA,95831,SACRAMENTO,27,6,LICENSED,7/20/16,,10/17/16,1,0,4,5
RESIDENTIAL CARE ELDERLY,374602723,HAVEN ELDERLY CARE,HAVEN ELDERLY CARE LLC,"JAVIER, SHARON FAITH",(760) 496-3737,787 JOY COURT,SAN MARCOS,CA,92078,SAN DIEGO,8,3,CLOSED,11/23/09,3/19/13,3/19/13,0,0,1,1
RESIDENTIAL CARE ELDERLY,306005163,HAVEN FOR MOM AND DAD I,"JV HERITAGE, INC","JABONERO, JANICE RACHELLE",(714) 975-3025,1221 SIERRA VISTA DRIVE,LA HABRA,CA,90631,ORANGE,22,6,CLOSED,,9/14/16,3/21/16,0,0,1,1
RESIDENTIAL CARE ELDERLY,306005162,HAVEN FOR MOM AND DAD II,JV HERITAGE INC,"JABONERO, JANICE RACHELLE",(714) 975-3025,1306 W ALTA MESA DRIVE,BREA,CA,92821,ORANGE,22,6,CLOSED,,9/14/16,,0,0,0,0
RESIDENTIAL CARE ELDERLY,306002280,HAVEN FOR MOM & DAD I,"ELDER SOLUTIONS, INC.",MITCHEL PARAZO,(562) 691-2434,1221 SIERRA VISTA DR.,LA HABRA,CA,90631,ORANGE,22,6,LICENSED,4/15/04,,10/20/16,1,1,1,3
RESIDENTIAL CARE ELDERLY,306002665,HAVEN FOR MOM & DAD II,"ELDER SOLUTIONS, INC.",CHRISTIAN JAY OTBO,(562) 694-6469,1306 W. ALTA MESA DRIVE,BREA,CA,92821,ORANGE,22,6,LICENSED,11/15/04,,8/31/16,2,1,3,6
RESIDENTIAL CARE ELDERLY,507004155,"HAVEN II, THE","YACAYAN, LINDA","RECTO, GENOVEVA",(209) 529-1533,3652 N. VENEMAN AVE.,MODESTO,CA,95356,STANISLAUS,27,3,CLOSED,3/23/10,6/7/16,6/7/16,2,0,1,3
RESIDENTIAL CARE ELDERLY,300613203,HAVEN OF JOY,"MARQUEZ, RODOLFO",ADA REYES,(714) 528-8225,1022 OXFORD DR.,PLACENTIA,CA,92670,ORANGE,22,6,CLOSED,12/24/93,4/13/15,11/19/14,1,5,3,9
RESIDENTIAL CARE ELDERLY,306002254,HAVEN OF JOY III,"RODMAR HOMES, INC.",ADA REYES,(714) 993-9280,1255 BERING STREET,PLACENTIA,CA,92870,ORANGE,22,6,CLOSED,3/12/04,2/13/15,2/22/13,1,0,1,2
RESIDENTIAL CARE ELDERLY,306003389,HAVEN OF JOY IV,"RODMAR HOMES, INC.",ADA REYES,(714) 646-9374,219 E. MADISON AVENUE,PLACENTIA,CA,92870,ORANGE,22,6,CLOSED,2/9/06,5/15/15,2/10/14,2,0,1,3
RESIDENTIAL CARE ELDERLY,197606346,HAVEN OF LIFE,MARIE JAMIESON,MARIE JAMIESON,(626) 858-9777,301 N. OSBORN AVENUE,WEST COVINA,CA,91790,LOS ANGELES,28,6,CLOSED,2/15/06,9/23/15,10/15/15,0,0,1,1
RESIDENTIAL CARE ELDERLY,79200514,"HAVEN OF WALNUT CREEK, LLC, THE","HAVEN OF WALNUT CREEK, LLC, THE","GOLUB, JUVY",(925) 954-1865,560 DOVER DRIVE,WALNUT CREEK,CA,94598,CONTRA COSTA,15,6,LICENSED,8/7/15,,10/26/16,1,0,2,3
RESIDENTIAL CARE ELDERLY,347005268,HAVENWOOD RCFE,"CAROLINE KANG, LLC","KANG, FRANCIS",(916) 392-2017,55 HAVENWOOD CIRCLE,SACRAMENTO,CA,95831,SACRAMENTO,27,6,LICENSED,11/22/13,,5/11/16,2,0,1,3
RESIDENTIAL CARE ELDERLY,336426166,"HAVEN, THE",PARASCHIVA O'QUINN,PARASCHIVA O'QUINN,(951) 657-8283,22100 KINNEY STREET,PERRIS,CA,92570,RIVERSIDE,18,4,LICENSED,2/12/14,,12/15/15,0,0,6,6
RESIDENTIAL CARE ELDERLY,507002304,"HAVEN, THE","GACAYAN, LINDA R.","RECTO, GENOVEVA",(209) 529-1533,3636 N. VENEMAN AVENUE,MODESTO,CA,95356,STANISLAUS,27,6,LICENSED,6/26/03,,6/7/16,2,0,1,3
RESIDENTIAL CARE ELDERLY,374602718,HAWKINS FAMILY HOME,"HAWKINS, ANGELA M. & DOUGLAS A.","HAWKINS, ANGELA M.",(619) 253-2168,1625 YALE STREET,CHULA VISTA,CA,91913,SAN DIEGO,8,6,CLOSED,10/8/08,10/29/13,10/29/13,1,0,0,1
RESIDENTIAL CARE ELDERLY,374602459,HAWKINS SUITE,"ONAY, ARZU PERIHAN",MICHELLE RETZER,(760) 294-3877,1723 CASERO PLACE,ESCONDIDO,CA,92029,SAN DIEGO,8,6,CLOSED,5/25/07,6/11/14,4/9/14,1,0,0,1
RESIDENTIAL CARE ELDERLY,385600373,HAYES VALLEY CARE,PACIFIC INSTITUTE; AGESONG INC,MERRYN L OLIVEIRA,(415) 252-1128,601 LAGUNA ST,SAN FRANCISCO,CA,94102,SAN FRANCISCO,14,47,LICENSED,3/30/09,,10/28/16,1,7,3,11
RESIDENTIAL CARE ELDERLY,197605706,HAYVENHURST MANOR,BRYAN SANTIAGO,BRYAN SANTIAGO,(818) 368-0443,10401 HAYVENHURST AVENUE,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,11/29/04,,9/28/14,1,4,11,16
RESIDENTIAL CARE ELDERLY,197607682,HAYWORTH TERRACE,"HAYWORTH PROPERTIES, LLC.",JOYCE ANN ALTAMIRANO,(323) 655-3101,325 N. HAYWORTH AVENUE,LOS ANGELES,CA,90048,LOS ANGELES,31,111,LICENSED,4/1/09,,10/17/16,3,52,8,63
RESIDENTIAL CARE ELDERLY,197609069,HAYWORTH TERRACE,HAYWORTH PROPERTIES LLC,"CHON, CHRISTINE",(323) 655-3101,325 N HAYWORTH AVE,LOS ANGELES,CA,90048,LOS ANGELES,31,111,PENDING,,,,0,0,0,0
RESIDENTIAL CARE ELDERLY,336402301,HAZEL GUEST HOME,LOURDES G. ABELLA,HAZEL ABELLA,(951) 601-0689,24641 SUPERIOR AVENUE,MORENO VALLEY,CA,92551,RIVERSIDE,18,6,LICENSED,7/3/98,,7/14/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,336408630,HAZEL GUEST HOME II,HAZEL ABELLA-BUTARDO,HAZEL A. BUTARDO,(951) 247-9355,24629 SUPERIOR AVENUE,MORENO VALLEY,CA,92551,RIVERSIDE,18,6,LICENSED,9/23/04,,7/14/16,2,1,0,3
RESIDENTIAL CARE ELDERLY,197606424,HAZELWOOD MIGHTY HOMES,"HAZELWOOD MIGHTY HOMES, LLC",ELIZABETH A. DAGOY,(323) 257-1487,1557 HAZELWOOD AVENUE,LOS ANGELES,CA,90041,LOS ANGELES,31,6,LICENSED,2/27/06,,8/27/13,1,0,0,1
RESIDENTIAL CARE ELDERLY,496801635,HEALDSBURG SENIOR LIVING COMMUNITY,HLDSBRG SENIOR LVNG LLC/AVALON HLTHCARE MNGMNT LLC,ROB MATTHEWS,(707) 433-4877,725 GROVE STREET,HEALDSBURG,CA,95448,SONOMA,21,82,LICENSED,9/2/04,,10/7/16,3,6,5,14
RESIDENTIAL CARE ELDERLY,197609043,HEALTHY LIFE RESIDENTIAL CARE FACILITY,HEALTHY LIFE RESIDENTIAL CARE INC,"MAMYAN, NARINE",(818) 568-6812,8627 BOTHWELL ROAD,NORTHRIDGE,CA,91324,LOS ANGELES,31,6,PENDING,,,7/1/16,0,0,1,1
RESIDENTIAL CARE ELDERLY,435202503,HEALTHY LIVING RESIDENTIAL CARE HOME,HEALTHY LIVING RESIDENTIAL CARE LLC,MADELINE TAM CHOW,(408) 493-6955,251 DELIA STREET,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,11/25/15,,11/12/15,0,0,1,1
RESIDENTIAL CARE ELDERLY,19200476,HEART AND SOUL COMMUNITIES II,ERICKA TILLIS,GEORGE ANDRE SMITH,(510) 927-8046,2245 SOL STREET,SAN LEANDRO,CA,94578,ALAMEDA,15,6,LICENSED,9/26/13,,12/21/16,1,2,4,7
RESIDENTIAL CARE ELDERLY,347005474,HEART COURT MANOR,"SCV1, LLC",JOCYLYN COLOMA,(916) 275-5207,7230 RUSH RIVER DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,27,6,LICENSED,8/8/15,,7/25/16,1,1,5,7
RESIDENTIAL CARE ELDERLY,306000498,HEART OF GOLD CARE HOME,HEART OF GOLD CARE HOME ALEENA LIMITED,MAGDALENA KIS,(714) 505-3195,18622 MANNING DRIVE,TUSTIN,CA,92680,ORANGE,22,6,CLOSED,1/7/97,8/20/13,3/23/12,1,1,0,2
RESIDENTIAL CARE ELDERLY,197608234,"HEART OF GRACE, LLC","HEART OF GRACE, LLC",CYNTHIA MCNEIL,(818) 585-7033,5679 RUTHWOOD DRIVE,CALABASAS,CA,91302,LOS ANGELES,31,6,CLOSED,1/4/12,4/20/16,4/20/16,0,0,1,1
RESIDENTIAL CARE ELDERLY,331800084,HEART OF JOY HOME CARE,"MESINA, JOSEPHINE O","MESINA, JOSEPHINE O",(951) 432-7528,597 HAMILTON DR,CORONA,CA,92879,RIVERSIDE,18,3,PENDING,,,12/13/16,0,0,1,1
RESIDENTIAL CARE ELDERLY,315001819,HEART OF ROSEVILLE CARE HOME,"HEART OF ROSEVILLE CARE HOME, INC.","BAGHA, SUKHMINDER",(916) 759-0763,521 OAKBOROUGH AVENUE,ROSEVILLE,CA,95747,PLACER,27,5,CLOSED,1/23/07,4/14/13,4/4/13,1,0,1,2
RESIDENTIAL CARE ELDERLY,306001441,HEART OF SHADOWLAND,HEART OF SHADOWLAND,JANET SOULE',(714) 710-9020,28342 SHADOWLAND CIRCLE,MODJESKA CANYON,CA,92676,ORANGE,22,6,LICENSED,3/29/02,,3/28/16,2,0,0,2
RESIDENTIAL CARE ELDERLY,306003775,HEART TO HEART CARE HOME FOR ELDERLY,"HEART TO HEART HOME CARE, INC.",IMELDA CANLAS,(714) 884-3226,3101 JEFFERSON AVENUE,COSTA MESA,CA,92626,ORANGE,22,6,LICENSED,7/16/07,,1/22/16,4,0,0,4
RESIDENTIAL CARE ELDERLY,347005919,HEART TO HEART HOME CARE,HEART TO HEART HOME CARE LLC,"FLORUTA, SERGIU",(916) 844-7741,5543 WILLOW OAK WAY,FAIR OAKS,CA,95628,SACRAMENTO,27,6,LICENSED,5/26/16,,10/4/16,0,0,4,4
RESIDENTIAL CARE ELDERLY,385600422,HEART TO HEART SENIOR CARE LLC,"HIRABAYASHI, TERESITA","HIRABAYASHI, TERESITA",(415) 702-7222,763 NAPLES STREET,SAN FRANCISCO,CA,94112,SAN FRANCISCO,14,6,CLOSED,,11/10/16,,0,0,0,0
RESIDENTIAL CARE ELDERLY,134601388,"HEART & HAND, INC.","HEART & HAND, INC.","THOMASON, JENNIFER",(760) 353-1387,499 SOUTH SUNSET DRIVE,EL CENTRO,CA,92243,IMPERIAL,8,14,LICENSED,3/17/06,,9/3/14,2,2,2,6
RESIDENTIAL CARE ELDERLY,15601242,HEART & SOUL COMMUNITIES,"TILLIS, ERICKA","TILLIS, ERICKA",(510) 927-8046,3770 SUTER STREET,OAKLAND,CA,94619,ALAMEDA,15,6,LICENSED,3/29/06,,12/15/16,2,3,6,11
RESIDENTIAL CARE ELDERLY,197608701,"HEARTFIELDS ASSISTED LIVING, LLC.","HEARTFIELDS ASSISTED LIVING, LLC.",TERESA PANAMENO,(818) 427-9299,23912 VICTORY BLVD.,WOODLAND HILLS,CA,91367,LOS ANGELES,31,4,CLOSED,11/13/14,4/20/16,8/28/14,0,0,1,1
RESIDENTIAL CARE ELDERLY,336408298,HEARTLAND ASSISTED LIVING,"CLARRICH, INC.",CYNTHIA GARCIA,(951) 898-3731,1601 HEARTLAND WAY,CORONA,CA,92881,RIVERSIDE,18,6,LICENSED,7/20/04,,6/4/15,1,0,2,3
